group	element	code	offset	name
0008	0051	SQ	1	IssuerOfAccessionNumberSequence
0008	0117	UI	1	ContextUID
0008	103F	SQ	1	SeriesDescriptionCodeSequence
0008	1134	SQ	1	ReferencedStereometricInstanceSequence
0008	1161	UL	1-n	SimpleFrameList
0008	1162	UL	3-3n	CalculatedFrameList
0008	1163	FD	2	TimeRange
0008	1164	SQ	1	FrameExtractionSequence
0008	1167	UI	1	MultiFrameSourceSOPInstanceUID
0008	2133	SQ	1	EventTimerSequence
0008	2134	FD	1	EventTimeOffset
0008	2135	SQ	1	EventCodeSequence
0008	2251	SQ	1	AnatomicStructureSpaceOrRegionCodeSequenceTrial
0008	2253	SQ	1	AnatomicPortalOfEntranceCodeSequenceTrial
0008	2255	SQ	1	AnatomicApproachDirectionCodeSequenceTrial
0008	2256	ST	1	AnatomicPerspectiveDescriptionTrial
0008	2257	SQ	1	AnatomicPerspectiveCodeSequenceTrial
0008	2258	ST	1	AnatomicLocationOfExaminingInstrumentDescriptionTrial
0008	2259	SQ	1	AnatomicLocationOfExaminingInstrumentCodeSequenceTrial
0008	225A	SQ	1	AnatomicStructureSpaceOrRegionModifierCodeSequenceTrial
0008	225C	SQ	1	OnAxisBackgroundAnatomicStructureCodeSequenceTrial
0010	0022	CS	1	TypeOfPatientID
0010	0024	SQ	1	IssuerOfPatientIDQualifiersSequence
0010	1002	SQ	1	OtherPatientIDsSequence
0010	1021	SQ	1	PatientSizeCodeSequence
0010	2201	LO	1	PatientSpeciesDescription
0010	2202	SQ	1	PatientSpeciesCodeSequence
0010	2203	CS	1	PatientSexNeutered
0010	2210	CS	1	AnatomicalOrientationType
0010	2292	LO	1	PatientBreedDescription
0010	2293	SQ	1	PatientBreedCodeSequence
0010	2294	SQ	1	BreedRegistrationSequence
0010	2295	LO	1	BreedRegistrationNumber
0010	2296	SQ	1	BreedRegistryCodeSequence
0010	2297	PN	1	ResponsiblePerson
0010	2298	CS	1	ResponsiblePersonRole
0010	2299	LO	1	ResponsibleOrganization
0012	0064	SQ	1	DeidentificationMethodCodeSequence
0012	0071	LO	1	ClinicalTrialSeriesID
0012	0072	LO	1	ClinicalTrialSeriesDescription
0012	0081	LO	1	ClinicalTrialProtocolEthicsCommitteeName
0012	0082	LO	1	ClinicalTrialProtocolEthicsCommitteeApprovalNumber
0012	0083	SQ	1	ConsentForClinicalTrialUseSequence
0012	0084	CS	1	DistributionType
0012	0085	CS	1	ConsentForDistributionFlag
0014	0023	ST	1-n	CADFileFormat
0014	0024	ST	1-n	ComponentReferenceSystem
0014	0025	ST	1-n	ComponentManufacturingProcedure
0014	0028	ST	1-n	ComponentManufacturer
0014	0030	DS	1-n	MaterialThickness
0014	0032	DS	1-n	MaterialPipeDiameter
0014	0034	DS	1-n	MaterialIsolationDiameter
0014	0042	ST	1-n	MaterialGrade
0014	0044	ST	1-n	MaterialPropertiesFileID
0014	0045	ST	1-n	MaterialPropertiesFileFormat
0014	0046	LT	1	MaterialNotes
0014	0050	CS	1	ComponentShape
0014	0052	CS	1	CurvatureType
0014	0054	DS	1	OuterDiameter
0014	0056	DS	1	InnerDiameter
0014	1010	ST	1	ActualEnvironmentalConditions
0014	1020	DA	1	ExpiryDate
0014	1040	ST	1	EnvironmentalConditions
0014	2002	SQ	1	EvaluatorSequence
0014	2004	IS	1	EvaluatorNumber
0014	2006	PN	1	EvaluatorName
0014	2008	IS	1	EvaluationAttempt
0014	2012	SQ	1	IndicationSequence
0014	2014	IS	1	IndicationNumber
0014	2016	SH	1	IndicationLabel
0014	2018	ST	1	IndicationDescription
0014	201A	CS	1-n	IndicationType
0014	201C	CS	1	IndicationDisposition
0014	201E	SQ	1	IndicationROISequence
0014	2030	SQ	1	IndicationPhysicalPropertySequence
0014	2032	SH	1	PropertyLabel
0014	2202	IS	1	CoordinateSystemNumberOfAxes
0014	2204	SQ	1	CoordinateSystemAxesSequence
0014	2206	ST	1	CoordinateSystemAxisDescription
0014	2208	CS	1	CoordinateSystemDataSetMapping
0014	220A	IS	1	CoordinateSystemAxisNumber
0014	220C	CS	1	CoordinateSystemAxisType
0014	220E	CS	1	CoordinateSystemAxisUnits
0014	2210	OB	1	CoordinateSystemAxisValues
0014	2220	SQ	1	CoordinateSystemTransformSequence
0014	2222	ST	1	TransformDescription
0014	2224	IS	1	TransformNumberOfAxes
0014	2226	IS	1-n	TransformOrderOfAxes
0014	2228	CS	1	TransformedAxisUnits
0014	222A	DS	1-n	CoordinateSystemTransformRotationAndScaleMatrix
0014	222C	DS	1-n	CoordinateSystemTransformTranslationMatrix
0014	3011	DS	1	InternalDetectorFrameTime
0014	3012	DS	1	NumberOfFramesIntegrated
0014	3020	SQ	1	DetectorTemperatureSequence
0014	3022	DS	1	SensorName
0014	3024	DS	1	HorizontalOffsetOfSensor
0014	3026	DS	1	VerticalOffsetOfSensor
0014	3028	DS	1	SensorTemperature
0014	3040	SQ	1	DarkCurrentSequence
0014	3050	OB	1	DarkCurrentCounts
0014	3060	SQ	1	GainCorrectionReferenceSequence
0014	3070	OB	1	AirCounts
0014	3071	DS	1	KVUsedInGainCalibration
0014	3072	DS	1	MAUsedInGainCalibration
0014	3073	DS	1	NumberOfFramesUsedForIntegration
0014	3074	LO	1	FilterMaterialUsedInGainCalibration
0014	3075	DS	1	FilterThicknessUsedInGainCalibration
0014	3076	DA	1	DateOfGainCalibration
0014	3077	TM	1	TimeOfGainCalibration
0014	3080	OB	1	BadPixelImage
0014	3099	LT	1	CalibrationNotes
0014	4002	SQ	1	PulserEquipmentSequence
0014	4004	CS	1	PulserType
0014	4006	LT	1	PulserNotes
0014	4008	SQ	1	ReceiverEquipmentSequence
0014	400A	CS	1	AmplifierType
0014	400C	LT	1	ReceiverNotes
0014	400E	SQ	1	PreAmplifierEquipmentSequence
0014	400F	LT	1	PreAmplifierNotes
0014	4010	SQ	1	TransmitTransducerSequence
0014	4011	SQ	1	ReceiveTransducerSequence
0014	4012	US	1	NumberOfElements
0014	4013	CS	1	ElementShape
0014	4014	DS	1	ElementDimensionA
0014	4015	DS	1	ElementDimensionB
0014	4016	DS	1	ElementPitch
0014	4017	DS	1	MeasuredBeamDimensionA
0014	4018	DS	1	MeasuredBeamDimensionB
0014	4019	DS	1	LocationOfMeasuredBeamDiameter
0014	401A	DS	1	NominalFrequency
0014	401B	DS	1	MeasuredCenterFrequency
0014	401C	DS	1	MeasuredBandwidth
0014	4020	SQ	1	PulserSettingsSequence
0014	4022	DS	1	PulseWidth
0014	4024	DS	1	ExcitationFrequency
0014	4026	CS	1	ModulationType
0014	4028	DS	1	Damping
0014	4030	SQ	1	ReceiverSettingsSequence
0014	4031	DS	1	AcquiredSoundpathLength
0014	4032	CS	1	AcquisitionCompressionType
0014	4033	IS	1	AcquisitionSampleSize
0014	4034	DS	1	RectifierSmoothing
0014	4035	SQ	1	DACSequence
0014	4036	CS	1	DACType
0014	4038	DS	1-n	DACGainPoints
0014	403A	DS	1-n	DACTimePoints
0014	403C	DS	1-n	DACAmplitude
0014	4040	SQ	1	PreAmplifierSettingsSequence
0014	4050	SQ	1	TransmitTransducerSettingsSequence
0014	4051	SQ	1	ReceiveTransducerSettingsSequence
0014	4052	DS	1	IncidentAngle
0014	4054	ST	1	CouplingTechnique
0014	4056	ST	1	CouplingMedium
