group	element	code	offset	name
0000	0000	UL	1	GroupLength
0000	0001	UL	1	CommandLengthToEnd
0000	0002	UI	1	AffectedSOPClassUID
0000	0003	UI	1	RequestedSOPClassUID
0000	0010	SH	1	CommandRecognitionCode
0000	0100	US	1	CommandField
0000	0110	US	1	MessageID
0000	0120	US	1	MessageIDRespondedTo
0000	0600	AE	1	MoveDestination
0000	0700	US	1	Priority
0000	0800	US	1	DataSetType
0000	0900	US	1	Status
0000	0901	AT	1	OffendingElement
0000	0902	LO	1	ErrorComment
0000	0903	US	1	ErrorID
0000	1001	UI	1	SOPRequestedInstanceUID
0000	1000	UI	1	SOPAffectedInstanceUID
0000	1002	US	1	EventTypeID
0000	1008	US	1	ActionTypeID
0000	1020	US	1	RemainingSuboperations
0000	1021	US	1	CompletedSuboperations
0000	1022	US	1	FailedSuboperations
0000	1023	US	1	WarningSuboperations
0000	1030	AE	1	AETitle
0000	1031	US	1	MessageID
0000	1005	AT	1	AttributeIdentifierList
0002	0000	UL	1	GroupLength
0002	0001	OB	1	FileMetaInformationVersion
0002	0002	UI	1	MediaStorageSOPClassUID
0002	0003	UI	1	MediaStorageSOPInstanceUID
0002	0010	UI	1	TransferSyntaxUID
0002	0012	UI	1	ImplementationClassUID
0002	0013	SH	1	ImplementationVersionName
0002	0016	AE	1	SourceApplicationEntityTitle
0002	0100	UI	1	PrivateInformationCreatorUID
0002	0102	OB	1	PrivateInformation
0004	1130	CS	1	FileSetID
0004	1141	CS	1-8	FileSetDescriptorFileID
0004	1142	CS	1	SpecificCharacterSetOfFileSetDescriptorFile
0004	1200	UL	1	OffsetOfTheFirstDirectoryRecordOfTheRootDirectoryEntity
0004	1202	UL	1	OffsetOfTheLastDirectoryRecordOfTheRootDirectoryEntity
0004	1212	US	1	FileSetConsistencyFlag
0004	1220	SQ	1	DirectoryRecordSequence
0004	1400	UL	1	OffsetOfTheNextDirectoryRecord
0004	1410	US	1	RecordInUseFlag
0004	1420	UL	1	OffsetOfReferencedLowerLevelDirectoryEntity
0004	1430	CS	1	DirectoryRecordType
0004	1432	UI	1	PrivateRecordUID
0004	1500	CS	1-8	ReferencedFileID
0004	1504	UL	1	MRDRDirectoryRecordOffset
0004	1510	UI	1	ReferencedSOPClassUIDInFile
0004	1511	UI	1	ReferencedSOPInstanceUIDInFile
0004	1512	UI	1	ReferencedTransferSyntaxUIDInFile
0004	151A	UI	1-n	ReferencedRelatedGeneralSOPClassUIDInFile
0004	1600	UL	1	NumberOfReferences
0008	0000	UL	1	GroupLength
0008	0001	UL	1	LengthToEnd
0008	0005	CS	1-n	SpecificCharacterSet
0008	0008	CS	1-n	ImageType
0008	0010	CS	1	RecognitionCode
0008	0012	DA	1	InstanceCreationDate
0008	0013	TM	1	InstanceCreationTime
0008	0014	UI	1	InstanceCreatorUID
0008	0016	UI	1	SOPClassUID
0008	0018	UI	1	SOPInstanceUID
0008	001A	UI	1-n	RelatedGeneralSOPClassUID
0008	001B	UI	1	OriginalSpecializedSOPClassUID
0008	0020	DA	1	StudyDate
0008	0021	DA	1	SeriesDate
0008	0022	DA	1	AcquisitionDate
0008	0023	DA	1	ContentDate
0008	0024	DA	1	OverlayDate
0008	0025	DA	1	CurveDate
0008	002A	DT	1	AcquisitionDatetime
0008	0030	TM	1	StudyTime
0008	0031	TM	1	SeriesTime
0008	0032	TM	1	AcquisitionTime
0008	0033	TM	1	ContentTime
0008	0034	TM	1	OverlayTime
0008	0035	TM	1	CurveTime
0008	0040	US	1	DataSetType
0008	0041	LO	1	DataSetSubtype
0008	0042	CS	1	NuclearMedicineSeriesType
0008	0050	SH	1	AccessionNumber
0008	0052	CS	1	QueryRetrieveLevel
0008	0054	AE	1-n	RetrieveAETitle
0008	0056	CS	1	InstanceAvailability
0008	0058	UI	1-n	FailedSOPInstanceUIDList
0008	0060	CS	1	Modality
0008	0061	CS	1-n	ModalitiesInStudy
0008	0062	UI	1-n	SOPClassesInStudy
0008	0064	CS	1	ConversionType
0008	0068	CS	1	PresentationIntentType
0008	0070	LO	1	Manufacturer
0008	0080	LO	1	InstitutionName
0008	0081	ST	1	InstitutionAddress
0008	0082	SQ	1	InstitutionCodeSequence
0008	0090	PN	1	ReferringPhysiciansName
0008	0092	ST	1	ReferringPhysiciansAddress
0008	0094	SH	1-n	ReferringPhysiciansTelephoneNumbers
0008	0096	SQ	1	ReferringPhysicianIdentificationSequence
0008	0100	SH	1	CodeValue
0008	0102	SH	1	CodingSchemeDesignator
0008	0103	SH	1	CodingSchemeVersion
0008	0104	LO	1	CodeMeaning
0008	0105	CS	1	MappingResource
0008	0106	DT	1	ContextGroupVersion
0008	0107	DT	1	ContextGroupLocalVersion
0008	010B	CS	1	ContextGroupExtensionFlag
0008	010C	UI	1	CodingSchemeUID
0008	010D	UI	1	ContextGroupExtensionCreatorUID
0008	010F	CS	1	ContextIdentifier
0008	0110	SQ	1	CodingSchemeIdentificationSequence
0008	0112	LO	1	CodingSchemeRegistry
0008	0114	ST	1	CodingSchemeExternalID
0008	0115	ST	1	CodingSchemeName
0008	0116	ST	1	ResponsibleOrganization
0008	0201	SH	1	TimezoneOffsetFromUTC
0008	1000	AE	1	NetworkID
0008	1010	SH	1	StationName
0008	1030	LO	1	StudyDescription
0008	1032	SQ	1	ProcedureCodeSequence
0008	103E	LO	1	SeriesDescription
0008	1040	LO	1	InstitutionalDepartmentName
0008	1048	PN	1-n	PhysiciansOfRecord
0008	1049	SQ	1	PhysiciansOfRecordIdentificationSequence
0008	1050	PN	1-n	PerformingPhysiciansName
0008	1052	SQ	1	PerformingPhysicianIdentificationSequence
0008	1060	PN	1-n	NameOfPhysiciansReadingStudy
0008	1062	SQ	1	PhysiciansReadingStudyIdentificationSequence
0008	1070	PN	1-n	OperatorsName
0008	1072	SQ	1	OperatorIdentificationSequence
0008	1080	LO	1-n	AdmittingDiagnosesDescription
0008	1084	SQ	1	AdmittingDiagnosesCodeSequence
0008	1090	LO	1	ManufacturersModelName
0008	1100	SQ	1	ReferencedResultsSequence
0008	1110	SQ	1	ReferencedStudySequence
0008	1111	SQ	1	ReferencedPerformedProcedureStepSequence
0008	1115	SQ	1	ReferencedSeriesSequence
0008	1120	SQ	1	ReferencedPatientSequence
0008	1125	SQ	1	ReferencedVisitSequence
0008	1130	SQ	1	ReferencedOverlaySequence
0008	113A	SQ	1	ReferencedWaveformSequence
0008	1140	SQ	1	ReferencedImageSequence
0008	1145	SQ	1	ReferencedCurveSequence
0008	114A	SQ	1	ReferencedInstanceSequence
0008	114B	SQ	1	ReferencedRealWordValueMappingInstanceSequence
